Zeitstempel,Zeitstempel,Pegelstand [cm]
1918-03-28,1918-03-28,1952.0
1918-03-29,1918-03-29,1950.0
1918-03-30,1918-03-30,1948.0
1918-03-31,1918-03-31,1946.0
1918-04-01,1918-04-01,1944.0
1918-04-02,1918-04-02,1942.0
1918-04-03,1918-04-03,1940.0
1918-04-04,1918-04-04,1936.0
1918-04-05,1918-04-05,1934.0
1918-04-06,1918-04-06,1930.0
1918-04-07,1918-04-07,1926.0
1918-04-08,1918-04-08,1924.0
1918-04-09,1918-04-09,1924.0
1918-04-10,1918-04-10,1922.0
1918-04-11,1918-04-11,1920.0
1918-04-12,1918-04-12,1918.0
1918-04-13,1918-04-13,1916.0
1918-04-14,1918-04-14,1916.0
1918-04-15,1918-04-15,1914.0
1918-04-16,1918-04-16,1912.0
1918-04-17,1918-04-17,1910.0
1918-04-18,1918-04-18,1908.0
1918-04-19,1918-04-19,1906.0
1918-04-20,1918-04-20,1904.0
1918-04-21,1918-04-21,1902.0
1918-04-22,1918-04-22,1902.0
1918-04-23,1918-04-23,1898.0
1918-04-24,1918-04-24,1898.0
1918-04-25,1918-04-25,1896.0
1918-04-26,1918-04-26,1894.0
1918-04-27,1918-04-27,1892.0
1918-04-28,1918-04-28,1890.0
1918-04-29,1918-04-29,1888.0
1918-04-30,1918-04-30,1888.0
1918-05-01,1918-05-01,1886.0
1918-05-02,1918-05-02,1884.0
1918-05-03,1918-05-03,1882.0
1918-05-04,1918-05-04,1880.0
1918-05-05,1918-05-05,1878.0
1918-05-06,1918-05-06,1878.0
1918-05-07,1918-05-07,1876.0
1918-05-08,1918-05-08,1874.0
1918-05-09,1918-05-09,1872.0
1918-05-10,1918-05-10,1872.0
1918-05-11,1918-05-11,1870.0
1918-05-12,1918-05-12,1868.0
1918-05-13,1918-05-13,1866.0
1918-05-14,1918-05-14,1866.0
1918-05-15,1918-05-15,1864.0
1918-05-16,1918-05-16,1862.0
1918-05-17,1918-05-17,1860.0
1918-05-18,1918-05-18,1860.0
1918-05-19,1918-05-19,1858.0
1918-05-20,1918-05-20,1856.0
1918-05-21,1918-05-21,1854.0
1918-05-22,1918-05-22,1854.0
1918-05-23,1918-05-23,1852.0
1918-05-24,1918-05-24,1850.0
1918-05-25,1918-05-25,1848.0
1918-05-26,1918-05-26,1846.0
1918-05-27,1918-05-27,1844.0
1918-05-28,1918-05-28,1842.0
1918-05-29,1918-05-29,1842.0
1918-05-30,1918-05-30,1840.0
1918-05-31,1918-05-31,1838.0
1918-06-01,1918-06-01,1836.0
1918-06-02,1918-06-02,1834.0
1918-06-03,1918-06-03,1832.0
1918-06-04,1918-06-04,1832.0
1918-06-05,1918-06-05,1828.0
1918-06-06,1918-06-06,1828.0
1918-06-07,1918-06-07,1826.0
1918-06-08,1918-06-08,1824.0
1918-06-09,1918-06-09,1822.0
1918-06-10,1918-06-10,1820.0
1918-06-11,1918-06-11,1820.0
1918-06-12,1918-06-12,1818.0
1918-06-13,1918-06-13,1816.0
1918-06-14,1918-06-14,1814.0
1918-06-15,1918-06-15,1812.0
1918-06-16,1918-06-16,1812.0
1918-06-17,1918-06-17,1810.0
1918-06-18,1918-06-18,1806.0
1918-06-19,1918-06-19,1806.0
1918-06-20,1918-06-20,1804.0
1918-06-21,1918-06-21,1802.0
1918-06-22,1918-06-22,1802.0
1918-06-23,1918-06-23,1800.0
1918-06-24,1918-06-24,1798.0
1918-06-25,1918-06-25,1796.0
1918-06-26,1918-06-26,1794.0
1918-06-27,1918-06-27,1794.0
1918-06-28,1918-06-28,1792.0
1918-06-29,1918-06-29,1790.0
1918-06-30,1918-06-30,1788.0
1918-07-01,1918-07-01,1786.0
1918-07-02,1918-07-02,1784.0
1918-07-03,1918-07-03,1784.0
1918-07-04,1918-07-04,1782.0
1918-07-05,1918-07-05,1780.0
1918-07-06,1918-07-06,1778.0
1918-07-07,1918-07-07,1776.0
1918-07-08,1918-07-08,1774.0
1918-07-09,1918-07-09,1772.0
1918-07-10,1918-07-10,1772.0
1918-07-11,1918-07-11,1764.0
1918-07-12,1918-07-12,1764.0
1918-07-13,1918-07-13,1762.0
1918-07-14,1918-07-14,1760.0
1918-07-15,1918-07-15,1760.0
1918-07-16,1918-07-16,1758.0
1918-07-17,1918-07-17,1756.0
1918-07-18,1918-07-18,1754.0
1918-07-19,1918-07-19,1752.0
1918-07-20,1918-07-20,1750.0
1918-07-21,1918-07-21,1748.0
1918-07-22,1918-07-22,1748.0
1918-07-23,1918-07-23,1746.0
1918-07-24,1918-07-24,1744.0
1918-07-25,1918-07-25,1742.0
1918-07-26,1918-07-26,1740.0
1918-07-27,1918-07-27,1738.0
1918-07-28,1918-07-28,1736.0
1918-07-29,1918-07-29,1734.0
1918-07-30,1918-07-30,1734.0
1918-07-31,1918-07-31,1732.0
1918-08-01,1918-08-01,1730.0
1918-08-02,1918-08-02,1728.0
1918-08-03,1918-08-03,1726.0
1918-08-04,1918-08-04,1724.0
1918-08-05,1918-08-05,1722.0
1918-08-06,1918-08-06,1720.0
1918-08-07,1918-08-07,1720.0
1918-08-08,1918-08-08,1718.0
1918-08-09,1918-08-09,1716.0
1918-08-10,1918-08-10,1714.0
1918-08-11,1918-08-11,1712.0
1918-08-12,1918-08-12,1710.0
1918-08-13,1918-08-13,1708.0
1918-08-14,1918-08-14,1706.0
1918-08-15,1918-08-15,1704.0
1918-08-16,1918-08-16,1704.0
1918-08-17,1918-08-17,1702.0
1918-08-18,1918-08-18,1700.0
1918-08-19,1918-08-19,1698.0
1918-08-20,1918-08-20,1696.0
1918-08-21,1918-08-21,1694.0
1918-08-22,1918-08-22,1692.0
1918-08-23,1918-08-23,1690.0
1918-08-24,1918-08-24,1688.0
1918-08-25,1918-08-25,1686.0
1918-08-26,1918-08-26,1684.0
1918-08-27,1918-08-27,1684.0
1918-08-28,1918-08-28,1682.0
1918-08-29,1918-08-29,1680.0
1918-08-30,1918-08-30,1678.0
1918-08-31,1918-08-31,1676.0
1918-09-01,1918-09-01,1674.0
1918-09-02,1918-09-02,1672.0
1918-09-03,1918-09-03,1670.0
1918-09-04,1918-09-04,1668.0
1918-09-05,1918-09-05,1668.0
1918-09-06,1918-09-06,1666.0
1918-09-07,1918-09-07,1664.0
1918-09-08,1918-09-08,1662.0
1918-09-09,1918-09-09,1660.0
1918-09-10,1918-09-10,1658.0
1918-09-11,1918-09-11,1656.0
1918-09-12,1918-09-12,1654.0
1918-09-13,1918-09-13,1652.0
1918-09-14,1918-09-14,1652.0
1918-09-15,1918-09-15,1650.0
1918-09-16,1918-09-16,1648.0
1918-09-17,1918-09-17,1646.0
1918-09-18,1918-09-18,1644.0
1918-09-19,1918-09-19,1642.0
1918-09-20,1918-09-20,1640.0
1918-09-21,1918-09-21,1638.0
1918-09-22,1918-09-22,1636.0
1918-09-23,1918-09-23,1634.0
1918-09-24,1918-09-24,1632.0
1918-09-25,1918-09-25,1630.0
1918-09-26,1918-09-26,1628.0
1918-09-27,1918-09-27,1626.0
1918-09-28,1918-09-28,1624.0
1918-09-29,1918-09-29,1622.0
1918-09-30,1918-09-30,1620.0
1918-10-01,1918-10-01,1618.0
1918-10-02,1918-10-02,1616.0
1918-10-03,1918-10-03,1614.0
1918-10-04,1918-10-04,1612.0
1918-10-05,1918-10-05,1610.0
1918-10-06,1918-10-06,1608.0
1918-10-07,1918-10-07,1606.0
1918-10-08,1918-10-08,1604.0
1918-10-09,1918-10-09,1602.0
1918-10-10,1918-10-10,1600.0
1918-10-11,1918-10-11,1598.0
1918-10-12,1918-10-12,1596.0
1918-10-13,1918-10-13,1594.0
1918-10-14,1918-10-14,1594.0
1918-10-15,1918-10-15,1592.0
1918-10-16,1918-10-16,1590.0
1918-10-17,1918-10-17,1588.0
1918-10-18,1918-10-18,1586.0
1918-10-19,1918-10-19,1586.0
1918-10-20,1918-10-20,1584.0
1918-10-21,1918-10-21,1582.0
1918-10-22,1918-10-22,1580.0
1918-10-23,1918-10-23,1580.0
1918-10-24,1918-10-24,1578.0
1918-10-25,1918-10-25,1576.0
1918-10-26,1918-10-26,1574.0
1918-10-27,1918-10-27,1574.0
1918-10-28,1918-10-28,1572.0
1918-10-29,1918-10-29,1572.0
1918-10-30,1918-10-30,1570.0
1918-10-31,1918-10-31,1568.0
1918-11-01,1918-11-01,1568.0
1918-11-02,1918-11-02,1566.0
1918-11-03,1918-11-03,1564.0
1918-11-04,1918-11-04,1564.0
1918-11-05,1918-11-05,1562.0
1918-11-06,1918-11-06,1562.0
1918-11-07,1918-11-07,1560.0
1918-11-08,1918-11-08,1560.0
1918-11-09,1918-11-09,1558.0
1918-11-10,1918-11-10,1558.0
1918-11-11,1918-11-11,1556.0
1918-11-12,1918-11-12,1554.0
1918-11-13,1918-11-13,1554.0
1918-11-14,1918-11-14,1552.0
1918-11-15,1918-11-15,1552.0
1918-11-16,1918-11-16,1550.0
1918-11-17,1918-11-17,1550.0
1918-11-18,1918-11-18,1548.0
1918-11-19,1918-11-19,1546.0
1918-11-20,1918-11-20,1546.0
1918-11-21,1918-11-21,1544.0
1918-11-22,1918-11-22,1542.0
1918-11-23,1918-11-23,1542.0
1918-11-24,1918-11-24,1540.0
1918-11-25,1918-11-25,1540.0
1918-11-26,1918-11-26,1538.0
1918-11-27,1918-11-27,1536.0
1918-11-28,1918-11-28,1536.0
1918-11-29,1918-11-29,1534.0
1918-11-30,1918-11-30,1532.0
1918-12-01,1918-12-01,1530.0
1918-12-02,1918-12-02,1530.0
1918-12-03,1918-12-03,1528.0
1918-12-04,1918-12-04,1526.0
1918-12-05,1918-12-05,1526.0
1918-12-06,1918-12-06,1524.0
1918-12-07,1918-12-07,1524.0
1918-12-08,1918-12-08,1522.0
1918-12-09,1918-12-09,1520.0
1918-12-10,1918-12-10,1520.0
1918-12-11,1918-12-11,1518.0
1918-12-12,1918-12-12,1518.0
1918-12-13,1918-12-13,1514.0
1918-12-14,1918-12-14,1514.0
1918-12-15,1918-12-15,1512.0
1918-12-16,1918-12-16,1512.0
1918-12-17,1918-12-17,1510.0
1918-12-18,1918-12-18,1510.0
1918-12-19,1918-12-19,1508.0
1918-12-20,1918-12-20,1504.0
1918-12-21,1918-12-21,1504.0
1918-12-22,1918-12-22,1502.0
1918-12-23,1918-12-23,1500.0
1918-12-24,1918-12-24,1498.0
1918-12-25,1918-12-25,1496.0
1918-12-26,1918-12-26,1496.0
1918-12-27,1918-12-27,1494.0
1918-12-28,1918-12-28,1492.0
1918-12-29,1918-12-29,1490.0
1918-12-30,1918-12-30,1488.0
1918-12-31,1918-12-31,1488.0
1919-01-01,1919-01-01,1486.0
1919-01-02,1919-01-02,1484.0
1919-01-03,1919-01-03,1482.0
1919-01-04,1919-01-04,1480.0
1919-01-05,1919-01-05,1478.0
1919-01-06,1919-01-06,1476.0
1919-01-07,1919-01-07,1476.0
1919-01-08,1919-01-08,1474.0
1919-01-09,1919-01-09,1472.0
1919-01-10,1919-01-10,1470.0
1919-01-11,1919-01-11,1468.0
1919-01-12,1919-01-12,1468.0
1919-01-13,1919-01-13,1466.0
1919-01-14,1919-01-14,1464.0
1919-01-15,1919-01-15,1460.0
1919-01-16,1919-01-16,1460.0
1919-01-17,1919-01-17,1458.0
1919-01-18,1919-01-18,1456.0
1919-01-19,1919-01-19,1454.0
1919-01-20,1919-01-20,1454.0
1919-01-21,1919-01-21,1450.0
1919-01-22,1919-01-22,1450.0
1919-01-23,1919-01-23,1448.0
1919-01-24,1919-01-24,1446.0
1919-01-25,1919-01-25,1446.0
1919-01-26,1919-01-26,1444.0
1919-01-27,1919-01-27,1442.0
1919-01-28,1919-01-28,1440.0
1919-01-29,1919-01-29,1440.0
1919-01-30,1919-01-30,1438.0
1919-01-31,1919-01-31,1438.0
1919-02-01,1919-02-01,1436.0
1919-02-02,1919-02-02,1434.0
1919-02-03,1919-02-03,1434.0
1919-02-04,1919-02-04,1432.0
1919-02-05,1919-02-05,1430.0
1919-02-06,1919-02-06,1428.0
1919-02-07,1919-02-07,1428.0
1919-02-08,1919-02-08,1426.0
1919-02-09,1919-02-09,1424.0
1919-02-10,1919-02-10,1424.0
1919-02-11,1919-02-11,1422.0
1919-02-12,1919-02-12,1422.0
1919-02-13,1919-02-13,1420.0
1919-02-14,1919-02-14,1418.0
1919-02-15,1919-02-15,1416.0
1919-02-16,1919-02-16,1414.0
1919-02-17,1919-02-17,1414.0
1919-02-18,1919-02-18,1412.0
1919-02-19,1919-02-19,1410.0
1919-02-20,1919-02-20,1408.0
1919-02-21,1919-02-21,1408.0
1919-02-22,1919-02-22,1406.0
1919-02-23,1919-02-23,1404.0
1919-02-24,1919-02-24,1402.0
1919-02-25,1919-02-25,1402.0
1919-02-26,1919-02-26,1400.0
1919-02-27,1919-02-27,1398.0
1919-02-28,1919-02-28,1396.0
1919-03-01,1919-03-01,1394.0
1919-03-02,1919-03-02,1394.0
1919-03-03,1919-03-03,1392.0
1919-03-04,1919-03-04,1390.0
1919-03-05,1919-03-05,1388.0
1919-03-06,1919-03-06,1386.0
1919-03-07,1919-03-07,1384.0
1919-03-08,1919-03-08,1382.0
1919-03-09,1919-03-09,1382.0
1919-03-10,1919-03-10,1380.0
1919-03-11,1919-03-11,1378.0
1919-03-12,1919-03-12,1378.0
1919-03-13,1919-03-13,1376.0
1919-03-14,1919-03-14,1374.0
1919-03-15,1919-03-15,1372.0
1919-03-16,1919-03-16,1372.0
1919-03-17,1919-03-17,1370.0
1919-03-18,1919-03-18,1368.0
1919-03-19,1919-03-19,1366.0
1919-03-20,1919-03-20,1364.0
1919-03-21,1919-03-21,1364.0
1919-03-22,1919-03-22,1362.0
1919-03-23,1919-03-23,1360.0
1919-03-24,1919-03-24,1358.0
1919-03-25,1919-03-25,1358.0
1919-03-26,1919-03-26,1358.0
1919-03-27,1919-03-27,1354.0
1919-03-28,1919-03-28,1352.0
1919-03-29,1919-03-29,1352.0
1919-03-30,1919-03-30,1350.0
1919-03-31,1919-03-31,1350.0
1919-04-01,1919-04-01,1348.0
1919-04-02,1919-04-02,1348.0
1919-04-03,1919-04-03,1344.0
1919-04-04,1919-04-04,1344.0
1919-04-05,1919-04-05,1342.0
1919-04-06,1919-04-06,1340.0
1919-04-07,1919-04-07,1338.0
1919-04-08,1919-04-08,1336.0
1919-04-09,1919-04-09,1336.0
1919-04-10,1919-04-10,1334.0
1919-04-11,1919-04-11,1334.0
1919-04-12,1919-04-12,1332.0
1919-04-13,1919-04-13,1330.0
1919-04-14,1919-04-14,1328.0
1919-04-15,1919-04-15,1328.0
1919-04-16,1919-04-16,1326.0
1919-04-17,1919-04-17,1324.0
1919-04-18,1919-04-18,1322.0
1919-04-19,1919-04-19,1322.0
1919-04-20,1919-04-20,1320.0
1919-04-21,1919-04-21,1320.0
1919-04-22,1919-04-22,1318.0
1919-04-23,1919-04-23,1316.0
1919-04-24,1919-04-24,1316.0
1919-04-25,1919-04-25,1314.0
1919-04-26,1919-04-26,1312.0
1919-04-27,1919-04-27,1312.0
1919-04-28,1919-04-28,1310.0
1919-04-29,1919-04-29,1310.0
1919-04-30,1919-04-30,1308.0
1919-05-01,1919-05-01,1306.0
1919-05-02,1919-05-02,1304.0
1919-05-03,1919-05-03,1304.0
1919-05-04,1919-05-04,1302.0
1919-05-05,1919-05-05,1302.0
1919-05-06,1919-05-06,1300.0
1919-05-07,1919-05-07,1298.0
1919-05-08,1919-05-08,1298.0
1919-05-09,1919-05-09,1296.0
1919-05-10,1919-05-10,1294.0
1919-05-11,1919-05-11,1294.0
1919-05-12,1919-05-12,1292.0
1919-05-13,1919-05-13,1292.0
1919-05-14,1919-05-14,1290.0
1919-05-15,1919-05-15,1290.0
1919-05-16,1919-05-16,1288.0
1919-05-17,1919-05-17,1288.0
1919-05-18,1919-05-18,1286.0
1919-05-19,1919-05-19,1284.0
1919-05-20,1919-05-20,1284.0
1919-05-21,1919-05-21,1282.0
1919-05-22,1919-05-22,1282.0
1919-05-23,1919-05-23,1280.0
1919-05-24,1919-05-24,1280.0
1919-05-25,1919-05-25,1278.0
1919-05-26,1919-05-26,1278.0
1919-05-27,1919-05-27,1276.0
1919-05-28,1919-05-28,1276.0
1919-05-29,1919-05-29,1274.0
1919-05-30,1919-05-30,1274.0
1919-05-31,1919-05-31,1272.0
1919-06-01,1919-06-01,1270.0
1919-06-02,1919-06-02,1270.0
1919-06-03,1919-06-03,1270.0
1919-06-04,1919-06-04,1268.0
1919-06-05,1919-06-05,1266.0
1919-06-06,1919-06-06,1266.0
1919-06-07,1919-06-07,1264.0
1919-06-08,1919-06-08,1264.0
1919-06-09,1919-06-09,1262.0
1919-06-10,1919-06-10,1262.0
1919-06-11,1919-06-11,1260.0
1919-06-12,1919-06-12,1260.0
1919-06-13,1919-06-13,1258.0
1919-06-14,1919-06-14,1258.0
1919-06-15,1919-06-15,1256.0
1919-06-16,1919-06-16,1254.0
1919-06-17,1919-06-17,1254.0
1919-06-18,1919-06-18,1252.0
1919-06-19,1919-06-19,1252.0
1919-06-20,1919-06-20,1250.0
1919-06-21,1919-06-21,1250.0
1919-06-22,1919-06-22,1248.0
1919-06-23,1919-06-23,1248.0
1919-06-24,1919-06-24,1246.0
1919-06-25,1919-06-25,1244.0
1919-06-26,1919-06-26,1244.0
1919-06-27,1919-06-27,1244.0
1919-06-28,1919-06-28,1242.0
1919-06-29,1919-06-29,1240.0
1919-06-30,1919-06-30,1238.0
1919-07-01,1919-07-01,1238.0
1919-07-02,1919-07-02,1236.0
1919-07-03,1919-07-03,1236.0
1919-07-04,1919-07-04,1234.0
1919-07-05,1919-07-05,1232.0
1919-07-06,1919-07-06,1232.0
1919-07-07,1919-07-07,1230.0
1919-07-08,1919-07-08,1230.0
1919-07-09,1919-07-09,1228.0
1919-07-10,1919-07-10,1226.0
1919-07-11,1919-07-11,1226.0
1919-07-12,1919-07-12,1224.0
1919-07-13,1919-07-13,1224.0
1919-07-14,1919-07-14,1222.0
1919-07-15,1919-07-15,1222.0
1919-07-16,1919-07-16,1222.0
1919-07-17,1919-07-17,1220.0
1919-07-18,1919-07-18,1220.0
1919-07-19,1919-07-19,1218.0
1919-07-20,1919-07-20,1218.0
1919-07-21,1919-07-21,1216.0
1919-07-22,1919-07-22,1216.0
1919-07-23,1919-07-23,1216.0
1919-07-24,1919-07-24,1214.0
1919-07-25,1919-07-25,1214.0
1919-07-26,1919-07-26,1212.0
1919-07-27,1919-07-27,1212.0
1919-07-28,1919-07-28,1212.0
1919-07-29,1919-07-29,1210.0
1919-07-30,1919-07-30,1210.0
1919-07-31,1919-07-31,1210.0
1919-08-01,1919-08-01,1208.0
1919-08-02,1919-08-02,1206.0
1919-08-03,1919-08-03,1206.0
1919-08-04,1919-08-04,1206.0
1919-08-05,1919-08-05,1206.0
1919-08-06,1919-08-06,1204.0
1919-08-07,1919-08-07,1204.0
1919-08-08,1919-08-08,1204.0
1919-08-09,1919-08-09,1202.0
1919-08-10,1919-08-10,1202.0
1919-08-11,1919-08-11,1200.0
1919-08-12,1919-08-12,1200.0
